Haystack Point Type,Val Tags,New Tags,GDB Field,Enumerations
discharge air temp sp point,,,supply_air_temperature_setpoint,[]
discharge fan elec current sensor point,,,supply_fan_current_sensor,[]
,,,supply_fan_power_sensor,[]
discharge fan run cmd point,"enum:[ON,OFF]",,supply_fan_run_command,"[ON,OFF]"
discharge fan run sensor point,"enum:[ON,OFF]",,supply_fan_run_status,"[ON,OFF]"
discharge fan speed freq cmd point,,,supply_fan_speed_frequency_command,[]
discharge fan speed freq sensor point,,,supply_fan_speed_frequency_sensor,[]
discharge fan speed cmd point,unit:percent,,supply_fan_speed_percentage_command,[]
discharge fan speed sensor point,,,supply_fan_speed_percentage_sensor,[]
,,,supply_water_flowrate_sensor,[]
,,,supply_water_temperature_sensor,[]
,,,supply_water_temperature_setpoint,[]
,,,cooling_request_count,[]
,,,heating_request_count,[]
,,,pressurization_request_count,[]
zone air co2 sensor point,,,zone_air_co2_concentration_sensor,[]
zone air co2 sp point,,,zone_air_co2_concentration_setpoint,[]
zone air co sp point,,,zone_air_co_concentration_setpoint,[]
zone air temp cooling sp point,,,zone_air_cooling_temperature_setpoint,[]
zone air temp heating sp point,,,zone_air_heating_temperature_setpoint,[]
zone air refrig sensor point,,,zone_air_refrigerant_concentration_sensor,[]
zone air humidity sensor point,,,zone_air_relative_humidity_sensor,[]
,,,zone_air_deadband_temperature_setpoint,[]
zone air temp sensor point,,,zone_air_temperature_sensor,[]
bypass damper cmd point,unit:percent,,bypass_air_damper_percentage_command,[]
bypass return air temp sensor point,,,bypass_return_air_temperature_sensor,[]
bypass valve cmd sensor point,unit:percent,,bypass_valve_percentage_sensor,[]
chilled water isolation valve sensor point,"enum:[OPEN,CLOSED]",,chilled_water_isolation_valve_status,"[OPEN,CLOSED]"
circ pump run cmd point,"enum:[ON,OFF]",,circulation_pump_run_command,"[ON,OFF]"
,,,cogeneration_return_water_temperature_sensor,[]
,,,cogeneration_return_water_temperature_setpoint,[]
,,,cogeneration_supply_water_temperature_sensor,[]
,,,cold_aisle_air_temperature_sensor,[]
,,,cooling_air_damper_percentage_command,[]
,,,cooling_air_flowrate_sensor,[]
,,,cooling_air_flowrate_setpoint,[]
,,,dehumidification_run_command,"[ON,OFF]"
,,,dehumidification_run_status,"[ON,OFF]"
,,,discharge_air_relative_humidity_sensor,[]
,,,discharge_fan_speed_frequency_sensor,[]
,,,dishwasher_run_status,"[ON,OFF]"
,,,east_illuminance_sensor,[]
,,,evaporative_cooler_run_command,"[ON,OFF]"
,,,exhaust_air_damper_percentage_sensor,[]
,,,exhaust_air_static_pressure_sensor,[]
,,,exhaust_air_static_pressure_setpoint,[]
,,,filter_differential_pressure_sensor,[]
,,,flowrate_setpoint,[]
,,,flue_gas_temperature_sensor,[]
,,,heating_stage_run_count,[]
,,,heating_air_damper_percentage_command,[]
,,,heating_air_flowrate_sensor,[]
,,,heating_air_flowrate_setpoint,[]
,,,heating_cooling_valve_percentage_command,[]
,,,heating_water_valve_status,"[OPEN,CLOSED]"
,,,high_discharge_fan_speed_command,"[ON,OFF]"
,,,hot_aisle_air_temperature_sensor,[]
,,,humidification_percentage_sensor,[]
,,,humidification_run_command,"[ON,OFF]"
,,,humidification_run_status,"[ON,OFF]"
,,,discharge_air_damper_command,"[OPEN,CLOSED]"
,,,isolation_valve_percentage_command,[]
,,,isolation_valve_percentage_sensor,[]
,,,leaving_heating_coil_temperature_sensor,[]
,,,low_discharge_fan_speed_command,"[ON,OFF]"
,,,makeup_water_flowrate_sensor,[]
,,,makeup_water_valve_percentage_command,[]
,,,medium_discharge_fan_speed_command,"[ON,OFF]"
,,,min_outside_air_damper_command,"[OPEN,CLOSED]"
,,,min_outside_air_damper_status,"[OPEN,CLOSED]"
,,,mixed_air_temperature_setpoint,[]
,,,outside_air_damper_command,"[OPEN,CLOSED]"
,,,outside_air_damper_percentage_sensor,[]
,,,outside_air_dewpoint_temperature_sensor,[]
,,,primary_return_water_temperature_sensor,[]
,,,production_differential_pressure_sensor,[]
,,,return_air_damper_percentage_command,[]
,,,return_air_dehumidification_relative_humidity_setpoint,[]
,,,return_air_humidification_relative_humidity_setpoint,[]
,,,return_air_relative_humidity_setpoint,[]
,,,return_water_valve_command,"[OPEN,CLOSED]"
,,,return_water_isolation_valve_percentage_command,[]
,,,return_water_isolation_valve_percentage_sensor,[]
,,,return_water_valve_status,"[OPEN,CLOSED]"
,,,return_water_temperature_setpoint,[]
,,,secondary_return_water_temperature_sensor,[]
,,,secondary_supply_water_temperature_sensor,[]
,,,shade_extent_percentage_command,[]
,,,shade_tilt_percentage_command,[]
,,,southeast_illuminance_sensor,[]
,,,southwest_illuminance_sensor,[]
,,,speed_frequency_command,[]
,,,spray_pump_run_command,"[ON,OFF]"
,,,spray_pump_run_status,"[ON,OFF]"
,,,supply_air_cooling_temperature_setpoint,[]
,,,supply_air_heating_temperature_setpoint,[]
,,,supply_air_relative_humidity_sensor,[]
,,,supply_water_valve_command,"[OPEN,CLOSED]"
,,,supply_water_isolation_valve_percentage_command,[]
,,,supply_water_isolation_valve_percentage_sensor,[]
,,,supply_water_valve_status,"[OPEN,CLOSED]"
,,,west_illuminance_sensor,[]
,,,zone_air_co_concentration_sensor,[]
,,,zone_air_dehumidification_relative_humidity_setpoint,[]
,,,zone_air_humidification_relative_humidity_setpoint,[]
,,,zone_air_relative_humidity_setpoint,[]
,,,zone_air_temperature_setpoint,[]
,,,condensing_water_isolation_valve_command,"[OPEN,CLOSED]"
,,,condensing_water_isolation_valve_percentage_command,[]
,,,condensing_water_isolation_valve_percentage_sensor,[]
